iter	Passed	Remaining
401	12181	18120
402	12216	18097
403	12242	18061
404	12271	18028
405	12305	18003
406	12334	17971
407	12364	17941
408	12393	17908
409	12419	17872
410	12449	17841
411	12477	17807
412	12503	17770
413	12531	17737
414	12555	17699
415	12578	17657
416	12601	17618
417	12627	17582
418	12651	17542
419	12676	17505
420	12761	17551
421	12807	17542
422	12832	17503
423	12858	17468
424	12884	17432
425	12914	17401
426	12949	17377
427	12981	17349
428	13010	17317
429	13037	17282
430	13063	17245
431	13095	17218
432	13127	17189
433	13153	17153
434	13179	17118
435	13204	17080
436	13229	17043
437	13256	17009
438	13286	16979
439	13311	16941
440	13336	16905
441	13361	16867
442	13386	16830
443	13412	16795
444	13439	16761
445	13464	16725
446	13490	16690
447	13521	16660
448	13547	16625
449	13574	16591
450	13602	16558
451	13629	16524
452	13658	16492
453	13688	16461
454	13719	16432
455	13745	16397
456	13772	16363
457	13797	16328
458	13820	16289
459	13844	16252
460	13870	16217
461	13897	16183
462	13924	16149
463	13949	16114
464	13972	16076
465	13997	16039
466	14022	16003
467	14046	15967
468	14071	15931
469	14098	15897
470	14130	15870
471	14157	15837
472	14186	15806
473	14213	15772
474	14237	15735
475	14264	15702
476	14294	15672
477	14323	15642
478	14353	15611
479	14381	15580
480	14410	15548
481	14443	15522
482	14467	15486
483	14493	15451
484	14517	15415
485	14540	15378
486	14565	15342
487	14590	15307
488	14616	15274
489	14639	15237
490	14666	15204
491	14693	15170
492	14718	15136
493	14746	15104
494	14777	15075
495	14803	15042
496	14830	15009
497	14855	14974
498	14883	14943
499	14913	14913
500	14943	14883
501	14971	14851
502	15001	14822
503	15028	14789
504	15053	14755
505	15081	14724
506	15112	14695
507	15135	14658
508	15159	14623
509	15184	14588
510	15212	14557
511	15237	14523
512	15264	14490
513	15287	14454
514	15311	14419
515	15344	14392
516	15373	14362
517	15400	14330
518	15428	14299
519	15454	14265
520	15484	14236
521	15515	14207
522	15545	14178
523	15581	14154
524	15609	14122
525	15633	14088
526	15660	14055
527	15687	14024
528	15711	13988
529	15737	13955
530	15762	13921
531	15790	13890
532	15815	13857
533	15842	13824
534	15869	13792
535	15895	13759
536	15924	13729
537	15953	13699
538	15981	13669
539	16012	13640
540	16039	13608
541	16063	13574
542	16095	13546
543	16126	13517
544	16156	13488
545	16180	13454
546	16206	13421
547	16230	13387
548	16258	13356
549	16282	13322
550	16307	13288
551	16331	13254
552	16360	13224
553	16386	13191
554	16412	13159
555	16441	13129
556	16466	13096
557	16491	13063
558	16517	13030
559	16544	12998
560	16573	12969
561	16607	12943
562	16636	12913
563	16665	12882
564	16693	12852
565	16723	12823
566	16755	12795
567	16782	12763
568	16806	12730
569	16831	12697
570	16856	12664
571	16883	12633
572	16911	12602
573	16938	12570
574	16963	12538
575	16987	12504
576	17012	12471
577	17036	12438
578	17062	12406
579	17088	12374
580	17111	12340
581	17138	12309
582	17165	12277
583	17194	12248
584	17218	12215
585	17244	12183
586	17270	12151
587	17296	12119
588	17324	12088
589	17352	12058
590	17379	12027
591	17403	11994
592	17435	11966
593	17462	11935
594	17491	11906
595	17517	11874
596	17544	11843
597	17575	11814
598	17603	11784
599	17632	11754
600	17659	11724
601	17695	11699
602	17733	11675
603	17771	11651
604	17799	11621
605	17826	11590
606	17853	11559
607	17881	11529
608	17911	11499
609	17940	11470
610	17972	11442
611	17996	11409
612	18021	11377
613	18045	11344
614	18071	11313
615	18096	11281
616	18121	11249
617	18149	11218
618	18174	11186
619	18202	11156
620	18230	11126
621	18256	11094
622	18284	11064
623	18311	11033
624	18341	11005
625	18374	10977
626	18404	10948
627	18431	10917
628	18458	10887
629	18486	10857
630	18519	10829
631	18552	10802
632	18585	10775
633	18612	10744
634	18638	10713
635	18662	10680
636	18690	10651
637	18716	10619
638	18742	10588
639	18770	10558
640	18794	10526
641	18829	10499
642	18862	10472
643	18895	10445
644	18932	10420
645	18962	10391
646	18993	10362
647	19022	10333
648	19048	10301
649	19072	10269
650	19097	10238
651	19126	10208
652	19155	10179
653	19182	10148
654	19208	10117
655	19233	10086
656	19263	10056
657	19288	10025
658	19313	9993
659	19339	9962
660	19362	9930
661	19386	9898
662	19412	9867
663	19440	9837
664	19465	9805
665	19488	9773
666	19511	9741
667	19537	9710
668	19565	9680
669	19596	9651
670	19624	9621
671	19659	9595
672	19685	9564
673	19712	9534
674	19738	9503
675	19771	9476
676	19798	9445
677	19820	9413
678	19844	9381
679	19868	9350
680	19893	9318
681	19919	9288
682	19945	9257
683	19971	9226
684	19994	9194
685	20018	9162
686	20043	9132
687	20066	9099
688	20091	9069
689	20114	9037
690	20141	9006
691	20166	8975
692	20194	8946
693	20223	8917
694	20247	8885
695	20274	8855
696	20300	8824
697	20329	8795
698	20372	8772
699	20415	8749
700	20457	8725
701	20489	8697
702	20520	8669
703	20545	8638
704	20570	8607
705	20595	8576
706	20619	8545
707	20644	8514
708	20669	8483
709	20693	8452
710	20717	8421
711	20747	8392
712	20776	8363
713	20803	8332
714	20831	8303
715	20858	8273
716	20881	8241
717	20908	8212
718	20936	8182
719	20965	8153
720	20993	8123
721	21021	8094
722	21049	8064
723	21079	8035
724	21109	8007
725	21137	7977
726	21164	7947
727	21190	7917
728	21214	7886
729	21239	7855
730	21266	7825
731	21291	7795
732	21321	7766
733	21355	7739
734	21386	7710
735	21415	7681
736	21442	7651
737	21473	7623
738	21510	7597
739	21545	7569
740	21571	7539
741	21595	7509
742	21620	7478
743	21645	7448
744	21672	7418
745	21701	7389
746	21726	7358
747	21753	7328
748	21778	7298
749	21803	7267
750	21829	7237
751	21853	7207
752	21878	7176
753	21902	7146
754	21932	7117
755	21958	7087
756	21986	7057
757	22014	7028
758	22039	6998
759	22065	6967
760	22093	6938
761	22124	6910
762	22153	6881
763	22181	6851
764	22208	6822
765	22232	6791
766	22257	6761
767	22281	6730
768	22306	6700
769	22333	6670
770	22356	6640
771	22380	6609
772	22405	6579
773	22428	6548
774	22455	6519
775	22480	6489
776	22504	6458
777	22531	6429
778	22559	6400
779	22585	6370
780	22613	6341
781	22638	6310
782	22666	6281
783	22694	6252
784	22721	6223
785	22750	6194
786	22777	6164
787	22803	6134
788	22828	6104
789	22853	6074
790	22878	6045
791	22903	6015
792	22927	5984
793	22952	5954
794	22977	5925
795	23000	5894
796	23031	5866
797	23056	5836
798	23081	5806
799	23106	5776
800	23129	5746
801	23169	5720
802	23202	5692
803	23230	5663
804	23258	5634
805	23292	5606
806	23327	5578
807	23363	5551
808	23400	5524
809	23425	5494
810	23449	5464
811	23475	5435
812	23502	5405
813	23527	5376
814	23552	5346
815	23576	5316
816	23601	5286
817	23624	5256
818	23651	5226
