iter	Passed	Remaining
399	52524	78787
400	52654	78653
401	52808	78556
402	52937	78420
403	53085	78313
404	53229	78201
405	53359	78067
406	53496	77944
407	53649	77843
408	53797	77736
409	53959	77649
410	54094	77522
411	54245	77418
412	54384	77296
413	54576	77251
414	54814	77269
415	55035	77261
416	55218	77199
417	55415	77157
418	55593	77087
419	55745	76981
420	55905	76886
421	56112	76855
422	56312	76814
423	56493	76745
424	56652	76647
425	56846	76596
426	57013	76507
427	57187	76427
428	57360	76346
429	57517	76243
430	57703	76178
431	57873	76093
432	58059	76027
433	58267	75989
434	58427	75888
435	58610	75817
436	58765	75709
437	58964	75657
438	59133	75567
439	59309	75485
440	59507	75429
441	59684	75347
442	59907	75323
443	60092	75251
444	60281	75182
445	60457	75097
446	60640	75020
447	60833	74955
448	61003	74862
449	61159	74749
450	61349	74680
451	61533	74602
452	61716	74522
453	61929	74479
454	62089	74370
455	62261	74277
456	62482	74240
457	62680	74176
458	62880	74114
459	63086	74058
460	63276	73982
461	63468	73909
462	63640	73811
463	63810	73711
464	63985	73618
465	64181	73546
466	64368	73466
467	64575	73406
468	64778	73341
469	64938	73228
470	65090	73106
471	65252	72994
472	65425	72894
473	65593	72789
474	65787	72712
475	65979	72632
476	66130	72508
477	66313	72418
478	66508	72339
479	66697	72255
480	66893	72178
481	67052	72060
482	67220	71952
483	67388	71844
484	67549	71727
485	67739	71642
486	68061	71695
487	68263	71620
488	68493	71574
489	68684	71487
490	68842	71366
491	69031	71275
492	69212	71178
493	69407	71093
494	69580	70986
495	69786	70911
496	69981	70826
497	70205	70769
498	70399	70681
499	70595	70595
500	70774	70492
501	70972	70407
502	71133	70285
503	71283	70152
504	71439	70024
505	71583	69885
506	71715	69735
507	71863	69600
508	72068	69519
509	72226	69394
510	72364	69248
511	72491	69093
512	72635	68953
513	72776	68811
514	72906	68659
515	73067	68536
516	73210	68395
517	73353	68255
518	73497	68116
519	73664	67998
520	73829	67877
521	74009	67771
522	74137	67616
523	74276	67472
524	74420	67332
525	74563	67192
526	74690	67037
527	74819	66883
528	74953	66735
529	75126	66621
530	75251	66465
531	75392	66322
532	75525	66173
533	75675	66038
534	75813	65894
535	75961	65757
536	76096	65610
537	76222	65454
538	76358	65308
539	76482	65151
540	76609	64997
541	76751	64856
542	76880	64704
543	77027	64567
544	77144	64404
545	77273	64252
546	77398	64098
547	77520	63940
548	77673	63808
549	77855	63700
550	77999	63560
551	78143	63420
552	78274	63270
553	78405	63120
554	78563	62992
555	78723	62865
556	78874	62731
557	79031	62602
558	79185	62470
559	79326	62328
560	79461	62181
561	79614	62048
562	79783	61928
563	79937	61795
564	80102	61671
565	80254	61538
566	80375	61380
567	80519	61239
568	80658	61096
569	80802	60956
570	80961	60827
571	81105	60687
572	81237	60538
573	81396	60409
574	81505	60243
575	81617	60079
576	81778	59952
577	81941	59825
578	82110	59703
579	82252	59561
580	82398	59423
581	82541	59282
582	82669	59130
583	82828	59000
584	82953	58847
585	83127	58728
586	83246	58570
587	83369	58415
588	83497	58263
589	83651	58130
590	83799	57992
591	83953	57860
592	84092	57716
593	84262	57593
594	84402	57450
595	84551	57313
596	84670	57156
597	84817	57017
598	84951	56870
599	85097	56731
600	85239	56589
601	85403	56462
602	85555	56327
603	85706	56191
604	85854	56053
605	85986	55905
606	86151	55778
607	86279	55627
608	86404	55474
609	86537	55327
610	86674	55181
611	86799	55029
612	86940	54887
613	87073	54740
614	87227	54606
615	87380	54471
616	87513	54323
617	87653	54180
618	87807	54046
619	87940	53898
620	88092	53763
621	88230	53618
622	88353	53465
623	88485	53318
624	88630	53178
625	88785	53044
626	88905	52889
627	89036	52741
628	89197	52610
629	89340	52469
630	89477	52325
631	89645	52198
632	89808	52069
633	89957	51931
634	90099	51789
635	90232	51642
636	90372	51499
637	90519	51360
638	90654	51214
639	90794	51071
640	90931	50927
641	91083	50791
642	91225	50649
643	91395	50522
644	91554	50390
645	91742	50273
646	91877	50127
647	92022	49987
648	92143	49833
649	92307	49704
650	92428	49550
651	92599	49424
652	92733	49278
653	92898	49148
654	93050	49011
655	93197	48872
656	93332	48726
657	93491	48592
658	93642	48455
659	93779	48310
660	93919	48167
661	94064	48026
662	94193	47878
663	94340	47738
664	94477	47594
665	94626	47455
666	94774	47316
667	94887	47159
668	95028	47017
669	95154	46867
670	95285	46719
671	95441	46584
672	95594	46447
673	95745	46310
674	95881	46165
675	96017	46020
676	96152	45874
677	96314	45742
678	96470	45606
679	96596	45457
680	96753	45321
681	96886	45175
682	97032	45035
683	97176	44894
684	97327	44756
685	97481	44619
686	97613	44473
687	97759	44332
688	97852	44168
689	97987	44023
690	98125	43879
691	98262	43735
692	98405	43593
693	98535	43446
694	98669	43300
695	98827	43165
696	98965	43022
697	99124	42887
698	99273	42748
699	99424	42610
700	99569	42469
701	99728	42334
702	99867	42191
703	100010	42050
704	100143	41904
705	100276	41758
706	100420	41616
707	100566	41476
708	100707	41334
709	100818	41179
710	100954	41035
711	101108	40897
712	101247	40754
713	101375	40606
714	101515	40464
715	101670	40327
716	101805	40182
717	101943	40038
718	102075	39893
719	102225	39754
720	102400	39625
721	102554	39487
722	102724	39356
723	102878	39218
724	103029	39080
725	103193	38946
726	103335	38804
727	103511	38674
728	103679	38542
729	103803	38392
730	103951	38252
731	104055	38096
732	104200	37955
733	104353	37817
734	104495	37675
735	104642	37534
736	104794	37396
737	104923	37249
738	105074	37110
739	105214	36967
740	105353	36823
741	105486	36678
742	105639	36540
743	105777	36396
744	105934	36259
745	106076	36117
746	106209	35971
747	106357	35831
748	106494	35687
749	106661	35553
750	106751	35394
751	106906	35256
752	107051	35115
753	107208	34977
754	107368	34841
755	107504	34697
756	107653	34557
757	107788	34412
758	107919	34266
759	108052	34121
760	108185	33976
761	108328	33834
762	108483	33696
763	108610	33549
764	108754	33408
765	108915	33271
766	109069	33133
767	109189	32984
768	109339	32844
769	109475	32700
770	109599	32552
771	109730	32407
772	109852	32259
773	109975	32111
774	110108	31967
775	110250	31824
776	110409	31687
777	110553	31546
778	110693	31403
779	110817	31256
780	110946	31110
781	111093	30969
782	111224	30824
783	111370	30683
784	111512	30541
785	111675	30405
786	111828	30266
787	111969	30123
788	112113	29982
789	112287	29848
790	112456	29713
791	112599	29571
792	112723	29424
793	112865	29282
794	113016	29142
795	113152	28998
796	113288	28855
797	113430	28712
798	113571	28570
799	113711	28427
800	113845	28283
801	113983	28140
802	114118	27996
803	114262	27855
804	114405	27713
805	114563	27574
806	114724	27437
807	114880	27298
808	115006	27152
809	115147	27009
810	115279	26865
811	115419	26722
812	115577	26584
813	115720	26442
814	115872	26302
815	116002	26157
816	116105	26006
817	116288	25873
818	116417	25728
819	116551	25584
820	116700	25443
821	116824	25297
822	116951	25152
823	117079	25007
824	117223	24865
825	117363	24722
826	117502	24580
827	117647	24438
828	117792	24297
829	117924	24153
830	118054	24008
831	118192	23865
832	118353	23727
833	118514	23589
834	118655	23446
835	118790	23303
836	118920	23158
837	119064	23017
838	119216	22877
839	119378	22738
840	119505	22593
841	119689	22459
842	119813	22313
843	119960	22172
844	120113	22032
845	120259	21891
846	120421	21752
847	120555	21608
848	120696	21466
849	120839	21324
850	120990	21183
851	121139	21042
852	121280	20900
853	121444	20762
854	121570	20617
855	121719	20476
856	121906	20341
857	122029	20196
858	122171	20053
859	122328	19913
860	122467	19771
861	122603	19627
862	122742	19485
863	122871	19340
864	123025	19200
865	123168	19058
866	123304	18915
867	123441	18772
868	123596	18631
869	123742	18490
870	123884	18347
871	124037	18207
872	124181	18065
873	124369	17929
874	124495	17785
875	124674	17648
876	124845	17509
877	125029	17373
878	125204	17235
879	125401	17100
880	125626	16968
881	125821	16833
882	125985	16693
883	126142	16552
884	126271	16408
885	126459	16271
886	126688	16139
887	126898	16005
888	127089	15868
889	127244	15726
890	127426	15588
891	127610	15450
892	127790	15312
893	127970	15173
894	128138	15033
895	128310	14893
896	128504	14755
897	128681	14616
898	128886	14480
899	129094	14343
900	129261	14203
901	129460	14065
902	129670	13929
903	129892	13793
904	130093	13656
905	130282	13517
906	130439	13374
907	130597	13232
908	130757	13090
909	130947	12950
910	131180	12815
911	131423	12681
912	131646	12544
913	131880	12408
914	132107	12272
915	132324	12134
916	132534	11996
917	132737	11856
918	132910	11714
919	133119	11575
920	133288	11432
921	133514	11295
922	133715	11155
923	133914	11014
924	134137	10876
925	134333	10735
926	134506	10592
